gen,nevals,avg,max,min,std,success_rate,valid_ratio,avg_cost,min_cost,avg_drift,min_drift,best_margins,hypervolume,hof_min_cost,hof_min_drift,hof_size
50,486,[0.34059525 0.76855611],[1.18066317 0.99896551],[0.26021279 0.41875249],[0.10407742 0.09371064],100.0,100.0,57432090.16928726,51604257.64816749,0.01537112221287785,0.00837504970136082,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.601666326268909,51604257.64816749,0.00837504970136082,28
51,481,[0.33875688 0.7659874 ],[1.18066317 0.99896551],[0.25712477 0.41875249],[0.10455612 0.09225869],100.0,100.0,57294008.177965365,51365813.76922149,0.015319748023864814,0.00837504970136082,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.60702091953757,51365813.76922149,0.00837504970136082,27
52,488,[0.3265147  0.78279063],[1.18066317 0.99646664],[0.25019672 0.41875249],[0.10244408 0.09548661],100.0,100.0,56412612.43359981,50879531.71794888,0.015655812670152123,0.00837504970136082,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.625044142260904,50879531.71794888,0.00837504970136082,19
53,487,[0.32588736 0.77863061],[1.18066317 0.99646664],[0.25019672 0.41875249],[0.10281325 0.09394062],100.0,100.0,56359776.286748566,50879531.71794888,0.015572612232911745,0.00837504970136082,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.625552087659773,50879531.71794888,0.00837504970136082,18
54,480,[0.32420324 0.77756148],[1.18066317 0.98699802],[0.25019672 0.41875249],[0.10341081 0.09307377],100.0,100.0,56237115.40308267,50879531.71794888,0.01555122969745486,0.00837504970136082,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.626250840595819,50879531.71794888,0.00837504970136082,15
55,480,[0.3228333  0.77616652],[1.18066317 0.98699802],[0.25019672 0.41875249],[0.10387974 0.09159131],100.0,100.0,56134137.4183224,50879531.71794888,0.015523330361234742,0.00837504970136082,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.6266134776413725,50879531.71794888,0.00837504970136082,17
56,488,[0.32126374 0.77575542],[1.18066317 0.98699802],[0.2483142  0.41875249],[0.10456436 0.09267411],100.0,100.0,56016755.823686585,50720026.277454495,0.015515108458764292,0.00837504970136082,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.630245673046545,50720026.277454495,0.00837504970136082,13
57,490,[0.3199155  0.77430049],[1.18066317 0.96832468],[0.23935188 0.41875249],[0.10503688 0.08949278],100.0,100.0,55924478.33135989,50492517.95101826,0.015486009742125745,0.00837504970136082,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.64468468421428,50492517.95101826,0.00837504970136082,20
58,482,[0.31749618 0.77502797],[1.18066317 0.98863418],[0.23935188 0.41875249],[0.10565748 0.09118069],100.0,100.0,55753078.14666554,50492517.95101826,0.015500559499184632,0.00837504970136082,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.66509850607976,50492517.95101826,0.00837504970136082,9
59,487,[0.31565557 0.77825145],[1.18066317 0.98863418],[0.23935188 0.41875249],[0.10645844 0.09403021],100.0,100.0,55618991.909329265,50492517.95101826,0.01556502901679018,0.00837504970136082,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.66521015684486,50492517.95101826,0.00837504970136082,10
60,484,[0.30999943 0.78408254],[1.18066317 0.98863418],[0.23935188 0.41875249],[0.10453272 0.09445079],100.0,100.0,55215540.90051986,50239087.7291663,0.0156816507202374,0.00837504970136082,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.665276201513383,50239087.7291663,0.00837504970136082,13
61,485,[0.3088554  0.78274074],[1.18066317 0.99566112],[0.23905698 0.41875249],[0.10504873 0.09368637],100.0,100.0,55135855.760198705,50234789.502760865,0.015654814789321646,0.00837504970136082,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.666668003529177,50234789.502760865,0.00837504970136082,8
62,488,[0.30620117 0.78519399],[1.18066317 0.98990081],[0.23159481 0.41875249],[0.10574415 0.09467624],100.0,100.0,54950275.4911207,49581174.1229853,0.015703879829578854,0.00837504970136082,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.678109694615589,49581174.1229853,0.00837504970136082,9
63,486,[0.30213842 0.78916618],[1.18066317 0.99350198],[0.23148162 0.41875249],[0.10091672 0.0964265 ],100.0,100.0,54660949.66036263,49581174.1229853,0.015783323691842262,0.00837504970136082,S:0.00 D:0.00 W:0.00 F:0.00 SCWB:0.00,4.6786544538864785,49675256.06636182,0.00837504970136082,6
