name,b,d,h,PiM,M,rho_t,rho_c,PiVn,stirrup,stirrup_space,fck,fy,Cost,CO2,UnitWeight,dimension,PI_size,n_b,N_r,N_n,N_r_C,N_n_C
472,200,964,1100,610.5909065,718.3422429,0.007067881,0.003448462,509.089055,13,250,27,500,42856.64222,129.0535858,5.352801772,16,40,2,8,4,4,2
473,200,1139,1250,610.6501636,718.4119572,0.005147249,0.002451916,584.0350765,13,250,21,500,44203.47459,137.8173116,6.051787365,16,40,2,6,3,3,2
474,200,1023,1150,612.6672196,720.7849642,0.008568885,0.004079574,277.8918376,10,300,21,400,43234.5742,131.7011574,5.585672464,22,50,2,5,3,3,2
475,200,967,1100,612.9792503,721.1520592,0.007329589,0.003196344,315.4869908,10,300,27,500,38103.19516,119.5925867,5.320431613,16,40,2,8,4,4,2
476,450,592,700,620.8712852,730.4368062,0.011165824,0.004747606,312.5185895,10,200,27,400,64243.37753,190.2450622,7.684585094,16,40,7,15,3,7,1
477,600,617,700,621.1193967,730.7287021,0.007284006,0.003350991,502.8130904,10,100,21,400,78248.13656,239.2592269,10.1947131,16,40,10,14,2,6,1
478,500,667,750,621.6057203,731.3008474,0.006025348,0.002586484,348.1942968,10,250,21,500,57692.00305,189.5303793,9.019168573,16,40,8,10,2,5,1
479,250,842,950,622.5223628,732.3792503,0.007948692,0.003210768,335.1153367,10,250,27,500,42381.83843,131.5581659,5.752228106,16,40,3,9,3,4,2
480,250,867,1000,622.5917544,732.4608876,0.009284059,0.004583891,276.9712962,10,300,27,400,47835.84575,144.7897527,6.077221172,16,40,3,11,4,6,2
481,400,717,800,623.2452641,733.2297225,0.00857165,0.004214971,389.5375319,10,150,21,400,62643.48876,188.1801682,7.788372588,16,40,6,12,2,6,1
482,200,942,1100,623.9071054,734.0083593,0.007464212,0.003531299,390.298997,13,350,27,500,40245.36751,123.8483132,5.335040971,22,50,1,4,4,2,2
483,500,664,750,625.2351002,735.5707061,0.007728018,0.003602657,718.9823332,13,100,21,400,81943.53734,237.6122731,9.184824841,16,40,8,13,2,6,1
484,200,964,1150,628.6838578,739.628068,0.009669802,0.004780949,509.089055,13,200,27,400,52447.22107,149.9945201,5.648525639,16,40,2,11,6,5,3
485,450,614,700,635.2917215,747.4020252,0.010091547,0.004713084,505.4526176,13,150,27,400,70737.05663,203.1973664,7.728730926,16,40,7,14,2,7,1
486,600,617,700,639.0911176,751.8719031,0.007776949,0.003288245,308.9768236,10,300,21,400,70114.20664,223.0407272,10.13940159,16,40,10,14,2,6,1
487,600,626,700,643.2450939,756.7589341,0.006868743,0.003188846,464.4231688,13,200,21,400,74413.6219,231.6605594,10.16851024,22,50,9,7,1,4,1
